,episode_id,total_characters,top_star,talking_time,1.0_l_id,3.0_l_id,5.0_l_id,8.0_l_id,10.0_l_id,15.0_l_id,28.0_l_id,44.0_l_id,48.0_l_id,50.0_l_id,51.0_l_id,53.0_l_id,71.0_l_id,79.0_l_id,131.0_l_id,136.0_l_id,151.0_l_id,188.0_l_id,190.0_l_id,192.0_l_id,194.0_l_id,216.0_l_id,270.0_l_id,297.0_l_id,387.0_l_id,396.0_l_id,410.0_l_id,493.0_l_id,573.0_l_id,701.0_l_id,1.0_c_id,2.0_c_id,3.0_c_id,8.0_c_id,9.0_c_id,11.0_c_id,14.0_c_id,15.0_c_id,17.0_c_id,18.0_c_id,22.0_c_id,25.0_c_id,31.0_c_id,33.0_c_id,40.0_c_id,71.0_c_id,101.0_c_id,139.0_c_id,140.0_c_id,153.0_c_id,165.0_c_id,170.0_c_id,208.0_c_id,211.0_c_id,240.0_c_id,332.0_c_id,404.0_c_id,442.0_c_id,801.0_c_id,1078.0_c_id,id,original_air_date,season,number_in_season,number_in_series,us_viewers_in_millions,views,imbd_rating,imbd_votes,imbd_category
183,184,40,0,17.39,0.0,0.0,0.27872340425531916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548936170212766,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.06595744680851064,0.0,0.0,0.0,0.0,0.0,0.08340425531914894,0.4157446808510638,0.0,0.09531914893617022,0.04085106382978723,0.07148936170212766,0.0,0.000425531914893617,0.0,0.0,0.0,0.008936170212765958,0.0029787234042553193,0.0,0.0,0.01574468085106383,0.04468085106382979,0.002127659574468085,0.0,0.0,0.0,0.0,0.005957446808510639,0.02170212765957447,0.0,0.008936170212765958,0.0,0.0,0.0,0.0,184,1997-11-09,9,6,184,10.6,31033.0,7.7,925,Med
184,185,37,0,16.971666666666668,0.0,0.0,0.3705482192877151,0.0,0.0,0.08803521408563425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08483393357342937,0.0,0.15366146458583432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06482593037214886,0.22569027611044418,0.0,0.02040816326530612,0.03241296518607443,0.0,0.0,0.0,0.03241296518607443,0.003601440576230492,0.0008003201280512205,0.0,0.008803521408563426,0.0,0.0,0.0,0.0,0.04841936774709884,0.012805122048819529,0.0,0.010004001600640256,0.003201280512204882,0.29531812725090034,0.01840736294517807,0.0,0.0,0.0,0.0,0.0,0.0,185,1997-11-16,9,7,185,11.4,19419.0,7.7,905,Med
185,186,41,0,17.536666666666665,0.0,0.01575984990619137,0.30056285178236397,0.0,0.0,0.0,0.01050656660412758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06303939962476549,0.0,0.0,0.0600375234521576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013883677298311446,0.0,0.06303939962476549,0.1448405253283302,0.04577861163227017,0.025891181988742965,0.24090056285178235,0.0525328330206379,0.011632270168855536,0.013133208255159476,0.0300187617260788,0.0,0.00225140712945591,0.00450281425891182,0.0,0.0,0.0075046904315197,0.04878048780487805,0.0,0.0,0.02401500938086304,0.0,0.012382739212007506,0.003377110694183865,0.0,0.030393996247654785,0.00375234521575985,0.022138836772983114,0.0,0.0,0.0,0.0,186,1997-11-23,9,8,186,9.3,22318.0,8.0,978,High
186,187,32,0,16.525,0.059117402164862616,0.0,0.1935886761032473,0.0,0.0,0.020399666944213156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01582014987510408,0.058284762697751874,0.0,0.0,0.0,0.01623646960865945,0.0253955037468776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26186511240632804,0.14571190674437967,0.009159034138218152,0.019567027477102414,0.05578684429641965,0.10865945045795171,0.0,0.0,0.025811823480432972,0.0,0.0,0.0,0.0,0.0,0.0,0.021232306411323898,0.0,0.0,0.0,0.0,0.0029142381348875937,0.0,0.0,0.0,0.0,0.01498751040799334,0.0,0.0,0.0,0.0,187,1997-12-07,9,9,187,10.6,25183.0,7.5,888,Med
187,188,42,0,14.321666666666667,0.0,0.015289058767319636,0.6268514094601051,0.0,0.014811275680840898,0.0903010033444816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015289058767319636,0.0,0.0,0.007644529383659818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019589106545628284,0.0,0.0,0.0,0.17152412804586717,0.2236024844720497,0.004300047778308648,0.1806020066889632,0.0864787386526517,0.011944577161968466,0.0,0.0033444816053511705,0.040611562350692784,0.00716674629718108,0.0,0.005255613951266125,0.008122312470138558,0.0,0.005733397037744864,0.011944577161968466,0.0,0.011944577161968466,0.0,0.0,0.01051122790253225,0.0019111323459149545,0.010033444816053512,0.0903010033444816,0.0,0.001433349259436216,0.0,0.0,0.0,0.0,188,1997-12-21,9,10,188,9.6,19899.0,7.6,958,Med
188,189,13,0,6.655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17082785808147175,0.24441524310118265,0.0,0.10512483574244415,0.12746386333771353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,1998-01-04,9,11,189,8.9,15780.0,5.1,1119,Low
189,190,28,0,17.06,0.0,0.0,0.3238590872698158,0.0,0.0,0.0,0.0,0.0756605284227382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018414731785428344,0.0,0.0,0.016012810248198558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13610888710968774,0.25180144115292236,0.009607686148919135,0.14531625300240192,0.06365092073658928,0.0020016012810248197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04243394715772618,0.005204163330664532,0.007606084867894315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,1998-01-11,9,12,190,11.7,22426.0,7.7,938,Med
190,191,44,0,18.076666666666668,0.0,0.0,0.1366775717920756,0.0,0.03925845147219193,0.0,0.0,0.0,0.0,0.0,0.03198836786623046,0.0,0.0,0.0,0.05161759360232643,0.0,0.0,0.11595783351508543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10650672482733552,0.22246455834242093,0.005089058524173028,0.04289349327517267,0.04034896401308615,0.03307888040712468,0.026535805161759362,0.04071246819338423,0.03198836786623046,0.01272264631043257,0.0,0.0,0.0,0.028353326063249727,0.01708469647400945,0.0,0.0,0.0,0.04252998909487459,0.0,0.003998545983278807,0.014903671392221011,0.003998545983278807,0.04580152671755725,0.0,0.0,0.038894947291893855,0.0,0.0021810250817884407,0.0,191,1998-02-08,9,13,191,9.4,27710.0,8.2,1042,High
191,192,26,0,15.845,0.0,0.11535008976660682,0.2845601436265709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06059245960502693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01660682226211849,0.0,0.0,0.0,0.0,0.0421903052064632,0.14721723518850988,0.05251346499102334,0.1813285457809695,0.1436265709156194,0.013913824057450628,0.0,0.0,0.0,0.0,0.0,0.09156193895870736,0.0,0.0,0.0,0.00807899461400359,0.0843806104129264,0.0,0.0,0.0,0.0,0.0,0.0,0.012118491921005385,0.0,0.0,0.0,0.0,0.03096947935368043,0.0,192,1998-02-15,9,14,192,9.6,32487.0,8.1,1036,High
192,193,42,0,16.218333333333334,0.0,0.0,0.2494061757719715,0.07086302454473475,0.0,0.23475851148060173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020190023752969122,0.01227236737925574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498812351543943,0.05779889152810768,0.07521773555027712,0.004750593824228029,0.11955661124307206,0.03285827395091053,0.0,0.0,0.0,0.018210609659540775,0.0011876484560570072,0.0,0.0,0.0,0.006730007917656373,0.0,0.001583531274742676,0.0,0.389944576405384,0.0,0.0,0.009501187648456057,0.006334125098970704,0.0035629453681710215,0.018210609659540775,0.0,0.003167062549485352,0.0,0.0,0.0,0.0,193,1998-02-22,9,15,193,9.5,20298.0,7.5,878,Med
